
TURNS: 7.5

Greninja: Water Shuriken [wtr] / Night Slash [drk]; Turns: 7.5; Damage: 1962

TURNS: 7.78

Gallade: Psycho Cut [psy] / Leaf Blade [grs]; Turns: 7.78; Damage: 2348
Machamp: *Karate Chop [fig] / Cross Chop [fig]; Turns: 7.78; Damage: 2340 (both fighting)
Absol: Psycho Cut [psy] / *Brutal Swing [drk]; Turns: 7.78; Damage: 2241
Roserade: Poison Sting [poi] / *Weather Ball (Fire) [fir]; Turns: 7.78; Damage: 2138
Pangoro: Karate Chop [fig] / Night Slash [drk]; Turns: 7.78; Damage: 2109
Primeape: *Karate Chop [fig] / *Cross Chop [fig]; Turns: 7.78; Damage: 2070 (both fighting)
Melmetal: Thunder Shock [elc] / *Double Iron Bash [stl]; Turns: 7.78; Damage: 2059
Overqwil: Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1830
Charizard: *Ember [fir] / Air Cutter [fly]; Turns: 7.78; Damage: 1813
Machoke: Karate Chop [fig] / *Cross Chop [fig]; Turns: 7.78; Damage: 1770 (both fighting)
Qwilfish: Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1741
Ninetales: *Ember [fir] / Weather Ball (Fire) [fir]; Turns: 7.78; Damage: 1712 (both fire)
Rapidash (Galarian): Psycho Cut [psy] / Body Slam [nrm]; Turns: 7.78; Damage: 1706
Rapidash (Galarian): Fairy Wind [fai] / Body Slam [nrm]; Turns: 7.78; Damage: 1706
Primeape: *Karate Chop [fig] / Night Slash [drk]; Turns: 7.78; Damage: 1702
Primeape: *Karate Chop [fig] / *Rage Fist [gho]; Turns: 7.78; Damage: 1702
Scolipede: Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1673
Politoed: Mud Shot [grd] / Weather Ball (Water) [wtr]; Turns: 7.78; Damage: 1624
Doublade: Psycho Cut [psy] / Sacred Sword [fig]; Turns: 7.78; Damage: 1587
Qwilfish (Hisuian): Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1516
Drapion: Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1484
Mankey: Karate Chop [fig] / Cross Chop [fig]; Turns: 7.78; Damage: 1480 (both fighting)
